Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Work"
"OCC06P Occupation 06 (ANZSCO), INCP Individual Income (gross weekly), AGEP Age (10 Year Groups) and Main ASGC by LFSP Labour Force Status"
"Counting: Persons; Place of Work"

Filters:
"Default Summation","Persons; Place of Work"
"LFSP Labour Force Status","Employed, worked full-time"


"OCC06P Occupation 06 (ANZSCO)","INCP Individual Income (gross weekly)","AGEP Age (10 Year Groups)","Main ASGC",
"Managers, nfd","$400-$599","20-29 years","New South Wales",112,
,,,"Victoria",80,
,,,"Queensland",51,
,,,"South Australia",24,
,,,"Western Australia",12,
,,,"Tasmania",0,
,,,"Northern Territory",5,
,,,"Australian Capital Territory",3,
,,,"Total",285,
,,"30-39 years","New South Wales",197,
,,,"Victoria",146,
,,,"Queensland",90,
,,,"South Australia",31,
,,,"Western Australia",13,
,,,"Tasmania",10,
,,,"Northern Territory",3,
,,,"Australian Capital Territory",4,
,,,"Total",494,
,,"40-49 years","New South Wales",301,
,,,"Victoria",196,
,,,"Queensland",149,
,,,"South Australia",47,
,,,"Western Australia",43,
,,,"Tasmania",15,
,,,"Northern Territory",10,
,,,"Australian Capital Territory",0,
,,,"Total",763,
,,"50-59 years","New South Wales",258,
,,,"Victoria",180,
,,,"Queensland",185,
,,,"South Australia",42,
,,,"Western Australia",48,
,,,"Tasmania",20,
,,,"Northern Territory",9,
,,,"Australian Capital Territory",7,
,,,"Total",746,
,"$600-$799","20-29 years","New South Wales",211,
,,,"Victoria",131,
,,,"Queensland",83,
,,,"South Australia",34,
,,,"Western Australia",36,
,,,"Tasmania",3,
,,,"Northern Territory",7,
,,,"Australian Capital Territory",5,
,,,"Total",510,
,,"30-39 years","New South Wales",309,
,,,"Victoria",209,
,,,"Queensland",150,
,,,"South Australia",49,
,,,"Western Australia",51,
,,,"Tasmania",16,
,,,"Northern Territory",16,
,,,"Australian Capital Territory",9,
,,,"Total",804,
,,"40-49 years","New South Wales",382,
,,,"Victoria",261,
,,,"Queensland",177,
,,,"South Australia",89,
,,,"Western Australia",73,
,,,"Tasmania",23,
,,,"Northern Territory",8,
,,,"Australian Capital Territory",14,
,,,"Total",1032,
,,"50-59 years","New South Wales",319,
,,,"Victoria",227,
,,,"Queensland",187,
,,,"South Australia",61,
,,,"Western Australia",76,
,,,"Tasmania",12,
,,,"Northern Territory",11,
,,,"Australian Capital Territory",5,
,,,"Total",908,
,"$800-$999","20-29 years","New South Wales",175,
,,,"Victoria",127,
,,,"Queensland",88,
,,,"South Australia",37,
,,,"Western Australia",37,
,,,"Tasmania",3,
,,,"Northern Territory",3,
,,,"Australian Capital Territory",11,
,,,"Total",471,
,,"30-39 years","New South Wales",382,
,,,"Victoria",312,
,,,"Queensland",179,
,,,"South Australia",56,
,,,"Western Australia",60,
,,,"Tasmania",8,
,,,"Northern Territory",12,
,,,"Australian Capital Territory",14,
,,,"Total",1025,
,,"40-49 years","New South Wales",454,
,,,"Victoria",341,
,,,"Queensland",261,
,,,"South Australia",103,
,,,"Western Australia",89,
,,,"Tasmania",23,
,,,"Northern Territory",19,
,,,"Australian Capital Territory",19,
,,,"Total",1311,
,,"50-59 years","New South Wales",363,
,,,"Victoria",275,
,,,"Queensland",227,
,,,"South Australia",57,
,,,"Western Australia",73,
,,,"Tasmania",18,
,,,"Northern Territory",10,
,,,"Australian Capital Territory",11,
,,,"Total",1031,
,"$1,300-$1,599","20-29 years","New South Wales",105,
,,,"Victoria",61,
,,,"Queensland",32,
,,,"South Australia",10,
,,,"Western Australia",11,
,,,"Tasmania",0,
,,,"Northern Territory",4,
,,,"Australian Capital Territory",11,
,,,"Total",235,
