Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP Occupation, INCP Total Personal Income (weekly) and AGE10P  Age in Ten Year Groups"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups",
"Employed, worked full-time","Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years",90,
,,,"30-39 years",143,
,,,"40-49 years",258,
,,,"50-59 years",239,
,,"$600-$799 ($31,200-$41,599)","20-29 years",248,
,,,"30-39 years",342,
,,,"40-49 years",442,
,,,"50-59 years",415,
,,"$800-$999 ($41,600-$51,999)","20-29 years",312,
,,,"30-39 years",469,
,,,"40-49 years",708,
,,,"50-59 years",567,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",366,
,,,"30-39 years",810,
,,,"40-49 years",1029,
,,,"50-59 years",888,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",288,
,,,"30-39 years",818,
,,,"40-49 years",1092,
,,,"50-59 years",840,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",335,
,,,"30-39 years",1441,
,,,"40-49 years",2004,
,,,"50-59 years",1522,
,,"$2,000 or more ($104,000 or more)","20-29 years",241,
,,,"30-39 years",2176,
,,,"40-49 years",3834,
,,,"50-59 years",2963,
,"Chief Executives, General Managers and Legislators nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$800-$999 ($41,600-$51,999)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",7,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",3,
,,,"30-39 years",4,
,,,"40-49 years",0,
,,,"50-59 years",3,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",6,
,,,"40-49 years",12,
,,,"50-59 years",6,
,,"$2,000 or more ($104,000 or more)","20-29 years",7,
,,,"30-39 years",34,
,,,"40-49 years",61,
,,,"50-59 years",61,
,"Chief Executives and Managing Directors","$400-$599 ($20,800-$31,199)","20-29 years",62,
,,,"30-39 years",141,
,,,"40-49 years",244,
,,,"50-59 years",225,
,,"$600-$799 ($31,200-$41,599)","20-29 years",89,
,,,"30-39 years",279,
,,,"40-49 years",406,
,,,"50-59 years",396,
,,"$800-$999 ($41,600-$51,999)","20-29 years",100,
,,,"30-39 years",392,
,,,"40-49 years",536,
,,,"50-59 years",497,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",119,
,,,"30-39 years",497,
,,,"40-49 years",834,
,,,"50-59 years",791,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",137,
,,,"30-39 years",571,
,,,"40-49 years",950,
,,,"50-59 years",910,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",167,
,,,"30-39 years",1152,
,,,"40-49 years",1957,
,,,"50-59 years",1770,
,,"$2,000 or more ($104,000 or more)","20-29 years",206,
,,,"30-39 years",3151,
,,,"40-49 years",8724,
,,,"50-59 years",8594,
,"General Managers","$400-$599 ($20,800-$31,199)","20-29 years",49,
,,,"30-39 years",64,
,,,"40-49 years",97,
,,,"50-59 years",99,
,,"$600-$799 ($31,200-$41,599)","20-29 years",185,
,,,"30-39 years",205,
,,,"40-49 years",243,
,,,"50-59 years",167,
,,"$800-$999 ($41,600-$51,999)","20-29 years",332,
,,,"30-39 years",407,
,,,"40-49 years",408,
,,,"50-59 years",317,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",403,
,,,"30-39 years",820,
,,,"40-49 years",786,
,,,"50-59 years",612,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",339,
,,,"30-39 years",1080,
,,,"40-49 years",1126,
,,,"50-59 years",773,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",380,
,,,"30-39 years",1967,
,,,"40-49 years",2350,
,,,"50-59 years",1655,
,,"$2,000 or more ($104,000 or more)","20-29 years",297,
,,,"30-39 years",4412,
,,,"40-49 years",9001,
,,,"50-59 years",6057,
,"Legislators","$400-$599 ($20,800-$31,199)","20-29 years",10,
,,,"30-39 years",3,
,,,"40-49 years",9,
,,,"50-59 years",18,
,,"$600-$799 ($31,200-$41,599)","20-29 years",0,
,,,"30-39 years",8,
,,,"40-49 years",12,
,,,"50-59 years",13,
,,"$800-$999 ($41,600-$51,999)","20-29 years",8,
,,,"30-39 years",10,
,,,"40-49 years",24,
,,,"50-59 years",19,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",13,
,,,"30-39 years",7,
,,,"40-49 years",19,
,,,"50-59 years",27,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",12,
,,,"30-39 years",11,
,,,"40-49 years",21,
,,,"50-59 years",32,
