Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
"Employed, worked full-time","Managers, nfd","50-59 years","$400-$499 ($20,800-$25,999)",87,
,,,"$500-$649 ($26,000-$33,799)",158,
,,,"$650-$799 ($33,800-$41,599)",264,
,,,"$800-$999 ($41,600-$51,999)",443,
,,,"$1,000-$1,249 ($52,000-$64,999)",762,
,,,"$1,250-$1,499 ($65,000-$77,999)",710,
,,,"$1,500-$1,749 ($78,000-$90,999)",921,
,,,"$1,750-$1,999 ($91,000-$103,999)",751,
,,,"$2,000-$2,999 ($104,000-$155,999)",1689,
,,,"$3,000 or more ($156,000 or more)",1688,
,,"40-49 years","$400-$499 ($20,800-$25,999)",97,
,,,"$500-$649 ($26,000-$33,799)",181,
,,,"$650-$799 ($33,800-$41,599)",273,
,,,"$800-$999 ($41,600-$51,999)",482,
,,,"$1,000-$1,249 ($52,000-$64,999)",868,
,,,"$1,250-$1,499 ($65,000-$77,999)",841,
,,,"$1,500-$1,749 ($78,000-$90,999)",1059,
,,,"$1,750-$1,999 ($91,000-$103,999)",904,
,,,"$2,000-$2,999 ($104,000-$155,999)",2188,
,,,"$3,000 or more ($156,000 or more)",2117,
,,"30-39 years","$400-$499 ($20,800-$25,999)",46,
,,,"$500-$649 ($26,000-$33,799)",110,
,,,"$650-$799 ($33,800-$41,599)",228,
,,,"$800-$999 ($41,600-$51,999)",426,
,,,"$1,000-$1,249 ($52,000-$64,999)",748,
,,,"$1,250-$1,499 ($65,000-$77,999)",718,
,,,"$1,500-$1,749 ($78,000-$90,999)",845,
,,,"$1,750-$1,999 ($91,000-$103,999)",647,
,,,"$2,000-$2,999 ($104,000-$155,999)",1388,
,,,"$3,000 or more ($156,000 or more)",884,
,,"20-29 years","$400-$499 ($20,800-$25,999)",26,
,,,"$500-$649 ($26,000-$33,799)",74,
,,,"$650-$799 ($33,800-$41,599)",157,
,,,"$800-$999 ($41,600-$51,999)",316,
,,,"$1,000-$1,249 ($52,000-$64,999)",402,
,,,"$1,250-$1,499 ($65,000-$77,999)",240,
,,,"$1,500-$1,749 ($78,000-$90,999)",225,
,,,"$1,750-$1,999 ($91,000-$103,999)",111,
,,,"$2,000-$2,999 ($104,000-$155,999)",160,
,,,"$3,000 or more ($156,000 or more)",41,
,"Chief Executives, General Managers and Legislators, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",4,
,,,"$1,000-$1,249 ($52,000-$64,999)",9,
,,,"$1,250-$1,499 ($65,000-$77,999)",6,
,,,"$1,500-$1,749 ($78,000-$90,999)",8,
,,,"$1,750-$1,999 ($91,000-$103,999)",4,
,,,"$2,000-$2,999 ($104,000-$155,999)",23,
,,,"$3,000 or more ($156,000 or more)",67,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",6,
,,,"$1,000-$1,249 ($52,000-$64,999)",8,
,,,"$1,250-$1,499 ($65,000-$77,999)",9,
,,,"$1,500-$1,749 ($78,000-$90,999)",15,
,,,"$1,750-$1,999 ($91,000-$103,999)",15,
,,,"$2,000-$2,999 ($104,000-$155,999)",25,
,,,"$3,000 or more ($156,000 or more)",70,
,,"30-39 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",3,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",5,
,,,"$1,250-$1,499 ($65,000-$77,999)",3,
,,,"$1,500-$1,749 ($78,000-$90,999)",12,
,,,"$1,750-$1,999 ($91,000-$103,999)",4,
,,,"$2,000-$2,999 ($104,000-$155,999)",25,
,,,"$3,000 or more ($156,000 or more)",18,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",4,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",4,
,,,"$1,250-$1,499 ($65,000-$77,999)",3,
,,,"$1,500-$1,749 ($78,000-$90,999)",4,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",7,
,,,"$3,000 or more ($156,000 or more)",4,
,"Chief Executives and Managing Directors","50-59 years","$400-$499 ($20,800-$25,999)",98,
