YEAR,OCCUPATION,AGE_GROUP,PERCENTILE,PERCENTILE_VALUE
2016,Accountants,50-59 years,0,0.0
2016,Accountants,50-59 years,1,587.5247561900088
2016,Accountants,50-59 years,2,688.1075472719208
2016,Accountants,50-59 years,3,759.5235664597316
2016,Accountants,50-59 years,4,820.7515284873865
2016,Accountants,50-59 years,5,875.209465883203
2016,Accountants,50-59 years,6,922.5662744973243
2016,Accountants,50-59 years,7,963.7422720624237
2016,Accountants,50-59 years,8,999.9024206343915
2016,Accountants,50-59 years,9,1032.2242719954113
2016,Accountants,50-59 years,10,1061.9656209092743
2016,Accountants,50-59 years,11,1089.9858273604398
2016,Accountants,50-59 years,12,1116.797357166088
2016,Accountants,50-59 years,13,1142.7551469988227
2016,Accountants,50-59 years,14,1168.1402837527294
2016,Accountants,50-59 years,15,1193.157461959166
2016,Accountants,50-59 years,16,1218.0076144527118
2016,Accountants,50-59 years,17,1242.9050085507147
2016,Accountants,50-59 years,18,1267.9440227821997
2016,Accountants,50-59 years,19,1293.0409960559825
2016,Accountants,50-59 years,20,1318.0368999584687
2016,Accountants,50-59 years,21,1342.7077272680808
2016,Accountants,50-59 years,22,1366.8733307394218
2016,Accountants,50-59 years,23,1390.3964355660312
2016,Accountants,50-59 years,24,1413.1824743956192
2016,Accountants,50-59 years,25,1435.1696387982843
2016,Accountants,50-59 years,26,1456.3185328213851
2016,Accountants,50-59 years,27,1476.6104834342077
2016,Accountants,50-59 years,28,1496.0654133015041
2016,Accountants,50-59 years,28,1514.7728986910727
2016,Accountants,50-59 years,30,1532.8322395071573
2016,Accountants,50-59 years,31,1550.3599297000583
2016,Accountants,50-59 years,32,1567.4804754986897
2016,Accountants,50-59 years,33,1584.3057020797278
2016,Accountants,50-59 years,34,1600.9071414399198
2016,Accountants,50-59 years,35,1617.3483570129845
2016,Accountants,50-59 years,36,1633.6909552857542
2016,Accountants,50-59 years,37,1649.99250510676
2016,Accountants,50-59 years,38,1666.3101102285916
2016,Accountants,50-59 years,39,1682.703088460376
2016,Accountants,50-59 years,40,1699.2343054307912
2016,Accountants,50-59 years,41,1715.967244842429
2016,Accountants,50-59 years,42,1732.9745313417268
2016,Accountants,50-59 years,43,1750.339400879797
2016,Accountants,50-59 years,44,1768.1422833670874
2016,Accountants,50-59 years,45,1786.4259151783388
2016,Accountants,50-59 years,46,1805.20956319777
2016,Accountants,50-59 years,47,1824.5138393900936
2016,Accountants,50-59 years,48,1844.3645150434697
2016,Accountants,50-59 years,49,1864.7881886622154
2016,Accountants,50-59 years,50,1885.809799454577
2016,Accountants,50-59 years,51,1907.4533088664282
2016,Accountants,50-59 years,52,1929.7449456918885
2016,Accountants,50-59 years,53,1952.7136277227814
2016,Accountants,50-59 years,54,1976.3763639693345
2016,Accountants,50-59 years,55,2000.7294565952102
2016,Accountants,50-59 years,56,2025.7638277361245
2016,Accountants,50-59 years,56,2051.4657024334797
2016,Accountants,50-59 years,57,2077.854754482737
2016,Accountants,50-59 years,59,2104.992858750536
2016,Accountants,50-59 years,60,2132.939740207571
2016,Accountants,50-59 years,61,2161.7539489489213
2016,Accountants,50-59 years,62,2191.5068240658625
2016,Accountants,50-59 years,63,2222.2792170314915
2016,Accountants,50-59 years,64,2254.162918503914
2016,Accountants,50-59 years,65,2287.2644889536546
2016,Accountants,50-59 years,66,2321.707136151041
2016,Accountants,50-59 years,67,2357.6353831912525
2016,Accountants,50-59 years,68,2395.2210527602483
2016,Accountants,50-59 years,69,2434.6697785015836
2016,Accountants,50-59 years,70,2476.231163988548
2016,Accountants,50-59 years,71,2520.2131183144925
2016,Accountants,50-59 years,72,2567.002444058144
2016,Accountants,50-59 years,73,2617.095505754687
2016,Accountants,50-59 years,74,2671.1460602077273
2016,Accountants,50-59 years,75,2730.0433881777662
2016,Accountants,50-59 years,76,2795.048588259327
2016,Accountants,50-59 years,77,2868.045783187312
2016,Accountants,50-59 years,78,2952.0759941432684
2016,Accountants,50-59 years,79,3050.1195856050313
2016,Accountants,50-59 years,80,3153.2433113822512
2016,Accountants,50-59 years,81,3259.8909899343375
2016,Accountants,50-59 years,82,3370.3515560621286
2016,Accountants,50-59 years,83,3484.982966124168
2016,Accountants,50-59 years,84,3604.202644110902
2016,Accountants,50-59 years,85,3728.4992444624795
2016,Accountants,50-59 years,86,3858.450462574194
2016,Accountants,50-59 years,87,3994.7469157059577
2016,Accountants,50-59 years,88,4138.224953367207
2016,Accountants,50-59 years,89,4289.912613194525
2016,Accountants,50-59 years,90,4451.095781240464
2016,Accountants,50-59 years,91,4623.416417310982
2016,Accountants,50-59 years,92,4809.02414940193
2016,Accountants,50-59 years,93,5010.820777053411
2016,Accountants,50-59 years,94,5232.877939051746
2016,Accountants,50-59 years,95,5481.203672011689
2016,Accountants,50-59 years,96,5765.291605701345
2016,Accountants,50-59 years,97,6101.70457593494
2016,Accountants,50-59 years,98,6524.281577742912
2016,Accountants,50-59 years,99,7126.692348224142
2016,Accountants,50-59 years,100,9444.360595703125
2016,Accountants,40-49 years,0,0.0
2016,Accountants,40-49 years,1,605.925950656217
2016,Accountants,40-49 years,2,706.8182112709455
2016,Accountants,40-49 years,3,779.892547495807
2016,Accountants,40-49 years,4,841.2210937089272
2016,Accountants,40-49 years,5,894.118295024371
2016,Accountants,40-49 years,6,939.9617439256527
2016,Accountants,40-49 years,7,980.2145469718907
2016,Accountants,40-49 years,8,1016.0893220246619
2016,Accountants,40-49 years,9,1048.6919056790045
2016,Accountants,40-49 years,10,1079.0139272661488
2016,Accountants,40-49 years,11,1107.642531044329
2016,Accountants,40-49 years,12,1134.9730047285589
2016,Accountants,40-49 years,13,1161.2862365387928
2016,Accountants,40-49 years,14,1186.7944141564042
2016,Accountants,40-49 years,15,1211.6589943327058
2016,Accountants,40-49 years,16,1236.0165682383595
2016,Accountants,40-49 years,17,1259.9787170064615
2016,Accountants,40-49 years,18,1283.5592997404106
2016,Accountants,40-49 years,19,1306.7234938687723
2016,Accountants,40-49 years,20,1329.436821673926
2016,Accountants,40-49 years,21,1351.6661533656052
2016,Accountants,40-49 years,22,1373.3905053504993
2016,Accountants,40-49 years,23,1394.5973585587033
2016,Accountants,40-49 years,24,1415.281509664943
2016,Accountants,40-49 years,25,1435.4458573306727
2016,Accountants,40-49 years,26,1455.0932065664992
2016,Accountants,40-49 years,27,1474.2249267579614
2016,Accountants,40-49 years,28,1492.8451739466527
2016,Accountants,40-49 years,28,1510.9939712437254
2016,Accountants,40-49 years,30,1528.7348044420276
2016,Accountants,40-49 years,31,1546.131973694875
2016,Accountants,40-49 years,32,1563.2513083395072
2016,Accountants,40-49 years,33,1580.1589457356351
2016,Accountants,40-49 years,34,1596.9144134635885
2016,Accountants,40-49 years,35,1613.5640664363295
2016,Accountants,40-49 years,36,1630.152680053544
2016,Accountants,40-49 years,37,1646.7242284206134
2016,Accountants,40-49 years,38,1663.321585962196
2016,Accountants,40-49 years,39,1679.9878074972082
2016,Accountants,40-49 years,40,1696.7719046793597
2016,Accountants,40-49 years,41,1713.7288317264442
2016,Accountants,40-49 years,42,1730.9136199424668
2016,Accountants,40-49 years,43,1748.3792239003287
2016,Accountants,40-49 years,44,1766.1772667357673
2016,Accountants,40-49 years,45,1784.3538258137207
2016,Accountants,40-49 years,46,1802.9289864690147
2016,Accountants,40-49 years,47,1821.9153007674565
2016,Accountants,40-49 years,48,1841.3303296763218
2016,Accountants,40-49 years,49,1861.1987460659666
2016,Accountants,40-49 years,50,1881.545529062172
2016,Accountants,40-49 years,51,1902.3944860113065
2016,Accountants,40-49 years,52,1923.7698898091937
2016,Accountants,40-49 years,53,1945.7074546433194
2016,Accountants,40-49 years,54,1968.250367066318
2016,Accountants,40-49 years,55,1991.4156651950307
2016,Accountants,40-49 years,56,2015.1900897726116
2016,Accountants,40-49 years,56,2039.5708772914643
2016,Accountants,40-49 years,57,2064.5722555998204
2016,Accountants,40-49 years,59,2090.2262320008076
2016,Accountants,40-49 years,60,2116.5847675502746
2016,Accountants,40-49 years,61,2143.702162936583
2016,Accountants,40-49 years,62,2171.6350755353383
2016,Accountants,40-49 years,63,2200.4504351030105
2016,Accountants,40-49 years,64,2230.2237061588667
2016,Accountants,40-49 years,65,2261.0420315668794
2016,Accountants,40-49 years,66,2293.0059397294385
2016,Accountants,40-49 years,67,2326.231935183859
2016,Accountants,40-49 years,68,2360.85828098304
2016,Accountants,40-49 years,69,2397.0493156900693
2016,Accountants,40-49 years,70,2435.0026875848735
2016,Accountants,40-49 years,71,2474.9603570163663
2016,Accountants,40-49 years,72,2517.2240756429082
2016,Accountants,40-49 years,73,2562.17719044629
2016,Accountants,40-49 years,74,2610.319155361355
2016,Accountants,40-49 years,75,2662.3210436787763
2016,Accountants,40-49 years,76,2719.1210304024194
2016,Accountants,40-49 years,77,2782.0984578550188
2016,Accountants,40-49 years,78,2853.426174639576
2016,Accountants,40-49 years,79,2936.884740497786
2016,Accountants,40-49 years,80,3038.6267956895676
2016,Accountants,40-49 years,81,3148.2773460014787
2016,Accountants,40-49 years,82,3261.8044763705707
2016,Accountants,40-49 years,83,3379.617453751989
2016,Accountants,40-49 years,84,3502.14609649003
2016,Accountants,40-49 years,85,3629.89259104036
2016,Accountants,40-49 years,86,3763.450635948234
2016,Accountants,40-49 years,87,3903.5300293026717
2016,Accountants,40-49 years,88,4050.9903397587323
2016,Accountants,40-49 years,89,4206.888136244128
2016,Accountants,40-49 years,90,4372.544974840972
2016,Accountants,40-49 years,91,4549.648423355372
2016,Accountants,40-49 years,92,4740.4077457299045
2016,Accountants,40-49 years,93,4947.805290178303
2016,Accountants,40-49 years,94,5176.025702912017
2016,Accountants,40-49 years,95,5431.243792023715
2016,Accountants,40-49 years,96,5723.21666955188
2016,Accountants,40-49 years,97,6068.966879812737
2016,Accountants,40-49 years,98,6503.27262219917
2016,Accountants,40-49 years,99,7122.403442903081
2016,Accountants,40-49 years,100,9504.399169921875
2016,Accountants,30-39 years,0,0.0
2016,Accountants,30-39 years,1,629.745119264354
2016,Accountants,30-39 years,2,710.8767764550057
2016,Accountants,30-39 years,3,767.8986225132902
2016,Accountants,30-39 years,4,813.8279221671877
2016,Accountants,30-39 years,5,853.161810446734
2016,Accountants,30-39 years,6,887.52468969515
2016,Accountants,30-39 years,7,918.1407444785495
2016,Accountants,30-39 years,8,945.8016961067941
2016,Accountants,30-39 years,9,971.0664521936415
2016,Accountants,30-39 years,10,994.3516306240579
2016,Accountants,30-39 years,11,1016.0317005267317
2016,Accountants,30-39 years,12,1036.4514337506428
2016,Accountants,30-39 years,13,1055.9042607991523
2016,Accountants,30-39 years,14,1074.5778102624856
2016,Accountants,30-39 years,15,1092.6444616689078
2016,Accountants,30-39 years,16,1110.2321891485121
2016,Accountants,30-39 years,17,1127.4251805219749
2016,Accountants,30-39 years,18,1144.3049813595512
2016,Accountants,30-39 years,19,1160.93822106538
2016,Accountants,30-39 years,20,1177.3781856108699
2016,Accountants,30-39 years,21,1193.6776530972163
2016,Accountants,30-39 years,22,1209.8881361521176
2016,Accountants,30-39 years,23,1226.0596046148282
2016,Accountants,30-39 years,24,1242.2418024601293
2016,Accountants,30-39 years,25,1258.4664964805881
2016,Accountants,30-39 years,26,1274.7294289787474
2016,Accountants,30-39 years,27,1291.0220433716206
2016,Accountants,30-39 years,28,1307.3328607434241
2016,Accountants,30-39 years,28,1323.6407521642109
2016,Accountants,30-39 years,30,1339.9225996002206
2016,Accountants,30-39 years,31,1356.1559429559163
2016,Accountants,30-39 years,32,1372.3218984104087
2016,Accountants,30-39 years,33,1388.4027914375981
2016,Accountants,30-39 years,34,1404.3811245296774
2016,Accountants,30-39 years,35,1420.2412043656825
2016,Accountants,30-39 years,36,1435.9683959084057
2016,Accountants,30-39 years,37,1451.5481384678865
2016,Accountants,30-39 years,38,1466.9678026184515
2016,Accountants,30-39 years,39,1482.2170409636997
2016,Accountants,30-39 years,40,1497.2856394096539
2016,Accountants,30-39 years,41,1512.171972263144
2016,Accountants,30-39 years,42,1526.9030427362627
2016,Accountants,30-39 years,43,1541.511812073739
2016,Accountants,30-39 years,44,1556.0311002979702
2016,Accountants,30-39 years,45,1570.4911944744977
2016,Accountants,30-39 years,46,1584.9201919362458
2016,Accountants,30-39 years,47,1599.3461178952075
2016,Accountants,30-39 years,48,1613.7972493793231
2016,Accountants,30-39 years,49,1628.302918650346
2016,Accountants,30-39 years,50,1642.8927343366508
2016,Accountants,30-39 years,51,1657.5964513353813
2016,Accountants,30-39 years,52,1672.4484640749588
