Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"OCCP Occupation, INCP Total Personal Income (weekly), AGE10P  Age in Ten Year Groups and Main Statistical Area Structure (Main ASGS) (POW) by LFHRP Labour Force Status and Hours Worked Not Stated"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated","Employed, worked full-time"


"OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups","Main Statistical Area Structure (Main ASGS) (POW)",
"Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years","New South Wales",33,
,,,"Victoria",29,
,,,"Queensland",16,
,,,"South Australia",3,
,,,"Western Australia",5,
,,,"Tasmania",0,
,,,"Australian Capital Territory",0,
,,,"Northern Territory",0,
,,,"Total",86,
,,"30-39 years","New South Wales",51,
,,,"Victoria",35,
,,,"Queensland",30,
,,,"South Australia",7,
,,,"Western Australia",7,
,,,"Tasmania",3,
,,,"Australian Capital Territory",0,
,,,"Northern Territory",0,
,,,"Total",136,
,,"40-49 years","New South Wales",80,
,,,"Victoria",64,
,,,"Queensland",50,
,,,"South Australia",21,
,,,"Western Australia",21,
,,,"Tasmania",0,
,,,"Australian Capital Territory",3,
,,,"Northern Territory",0,
,,,"Total",244,
,,"50-59 years","New South Wales",71,
,,,"Victoria",64,
,,,"Queensland",53,
,,,"South Australia",18,
,,,"Western Australia",17,
,,,"Tasmania",3,
,,,"Australian Capital Territory",0,
,,,"Northern Territory",0,
,,,"Total",228,
,"$600-$799 ($31,200-$41,599)","20-29 years","New South Wales",83,
,,,"Victoria",62,
,,,"Queensland",43,
,,,"South Australia",17,
,,,"Western Australia",8,
,,,"Tasmania",3,
,,,"Australian Capital Territory",0,
,,,"Northern Territory",0,
,,,"Total",221,
,,"30-39 years","New South Wales",109,
,,,"Victoria",82,
,,,"Queensland",56,
,,,"South Australia",24,
,,,"Western Australia",29,
,,,"Tasmania",9,
,,,"Australian Capital Territory",0,
,,,"Northern Territory",5,
,,,"Total",320,
,,"40-49 years","New South Wales",155,
,,,"Victoria",109,
,,,"Queensland",83,
,,,"South Australia",29,
,,,"Western Australia",33,
,,,"Tasmania",12,
,,,"Australian Capital Territory",5,
,,,"Northern Territory",4,
,,,"Total",422,
,,"50-59 years","New South Wales",136,
,,,"Victoria",108,
,,,"Queensland",73,
,,,"South Australia",37,
,,,"Western Australia",33,
,,,"Tasmania",8,
,,,"Australian Capital Territory",4,
,,,"Northern Territory",0,
,,,"Total",395,
,"$800-$999 ($41,600-$51,999)","20-29 years","New South Wales",90,
,,,"Victoria",83,
,,,"Queensland",53,
,,,"South Australia",15,
,,,"Western Australia",29,
,,,"Tasmania",3,
,,,"Australian Capital Territory",5,
,,,"Northern Territory",4,
,,,"Total",284,
,,"30-39 years","New South Wales",160,
,,,"Victoria",121,
,,,"Queensland",84,
,,,"South Australia",23,
,,,"Western Australia",38,
,,,"Tasmania",8,
,,,"Australian Capital Territory",8,
,,,"Northern Territory",3,
,,,"Total",445,
,,"40-49 years","New South Wales",211,
,,,"Victoria",191,
,,,"Queensland",154,
,,,"South Australia",43,
,,,"Western Australia",60,
,,,"Tasmania",17,
,,,"Australian Capital Territory",9,
,,,"Northern Territory",13,
,,,"Total",688,
,,"50-59 years","New South Wales",184,
,,,"Victoria",143,
,,,"Queensland",110,
,,,"South Australia",36,
,,,"Western Australia",47,
,,,"Tasmania",6,
,,,"Australian Capital Territory",13,
,,,"Northern Territory",8,
,,,"Total",544,
,"$1,000-$1,249 ($52,000-$64,999)","20-29 years","New South Wales",114,
,,,"Victoria",92,
,,,"Queensland",61,
,,,"South Australia",24,
,,,"Western Australia",40,
,,,"Tasmania",0,
,,,"Australian Capital Territory",11,
,,,"Northern Territory",3,
,,,"Total",353,
,,"30-39 years","New South Wales",249,
,,,"Victoria",234,
,,,"Queensland",144,
,,,"South Australia",38,
,,,"Western Australia",75,
,,,"Tasmania",17,
,,,"Australian Capital Territory",12,
,,,"Northern Territory",13,
,,,"Total",774,
,,"40-49 years","New South Wales",289,
,,,"Victoria",274,
,,,"Queensland",212,
,,,"South Australia",78,
,,,"Western Australia",104,
,,,"Tasmania",14,
,,,"Australian Capital Territory",17,
,,,"Northern Territory",6,
,,,"Total",1007,
,,"50-59 years","New South Wales",252,
,,,"Victoria",197,
,,,"Queensland",205,
,,,"South Australia",61,
,,,"Western Australia",101,
,,,"Tasmania",17,
,,,"Australian Capital Territory",24,
,,,"Northern Territory",4,
,,,"Total",860,
,"$1,500-$1,999 ($78,000-$103,999)","20-29 years","New South Wales",112,
,,,"Victoria",77,
,,,"Queensland",61,
,,,"South Australia",8,
,,,"Western Australia",43,
,,,"Tasmania",0,
,,,"Australian Capital Territory",29,
,,,"Northern Territory",3,
,,,"Total",327,
,,"30-39 years","New South Wales",435,
,,,"Victoria",335,
,,,"Queensland",238,
,,,"South Australia",91,
,,,"Western Australia",177,
,,,"Tasmania",15,
,,,"Australian Capital Territory",92,
,,,"Northern Territory",18,
,,,"Total",1402,
,,"40-49 years","New South Wales",559,
,,,"Victoria",464,
,,,"Queensland",408,
,,,"South Australia",115,
,,,"Western Australia",238,
,,,"Tasmania",21,
,,,"Australian Capital Territory",130,
,,,"Northern Territory",21,
,,,"Total",1949,
,,"50-59 years","New South Wales",406,
,,,"Victoria",332,
,,,"Queensland",293,
,,,"South Australia",115,
,,,"Western Australia",199,
,,,"Tasmania",28,
,,,"Australian Capital Territory",105,
,,,"Northern Territory",22,
,,,"Total",1494,
,"$1,250-$1,499 ($65,000-$77,999)","20-29 years","New South Wales",92,
,,,"Victoria",78,
,,,"Queensland",36,
,,,"South Australia",15,
,,,"Western Australia",34,
,,,"Tasmania",3,
,,,"Australian Capital Territory",15,
,,,"Northern Territory",0,
,,,"Total",277,
,,"30-39 years","New South Wales",257,
,,,"Victoria",213,
,,,"Queensland",148,
,,,"South Australia",41,
,,,"Western Australia",87,
,,,"Tasmania",11,
,,,"Australian Capital Territory",24,
,,,"Northern Territory",10,
,,,"Total",789,
,,"40-49 years","New South Wales",357,
,,,"Victoria",292,
,,,"Queensland",185,
,,,"South Australia",56,
,,,"Western Australia",109,
,,,"Tasmania",17,
,,,"Australian Capital Territory",32,
,,,"Northern Territory",21,
,,,"Total",1060,
,,"50-59 years","New South Wales",237,
,,,"Victoria",206,
,,,"Queensland",164,
,,,"South Australia",45,
,,,"Western Australia",114,
,,,"Tasmania",13,
,,,"Australian Capital Territory",25,
,,,"Northern Territory",11,
,,,"Total",812,
,"$2,000 or more ($104,000 or more)","20-29 years","New South Wales",76,
,,,"Victoria",53,
,,,"Queensland",42,
,,,"South Australia",11,
